state,category,provision,california_gap,recommended_language
California (SB 375),Binding Targets,"Establishes GHG reduction targets for each MPO, but targets are non-binding and vary by region","Targets lack enforceability; MPOs face no penalty for missing targets","Amend to require CARB to impose enforceable backstop measures when MPO Sustainable Communities Strategies fail to achieve adopted targets."
California (SB 375),Enforcement & Accountability,"CARB certifies Sustainable Communities Strategies but has limited enforcement tools","No financial or regulatory consequence for non-compliance","Add a performance-based funding linkage: MPOs that fail to meet interim VMT benchmarks lose eligibility for discretionary state transportation funds."
California (SB 375),Equity Provisions,"SCS must consider GHG impacts but equity analysis is discretionary","No mandatory anti-displacement or environmental justice screen in SCS","Require each SCS to include a Displacement Risk Analysis and demonstrate net benefit to disadvantaged communities, consistent with AB 1550."
California (SB 375),Data & Monitoring,"CARB monitors aggregate statewide VMT but link-level or CBG-level reporting is not required","Limited granularity hinders identifying lagging regions","Mandate annual VMT monitoring at the Census Block Group level using the Caltrans VMTIndex methodology, with public dashboard reporting."
California (SB 375),Land Use Integration,"RHNA cycle aligned with SCS cycle, but zoning override authority is weak","Local zoning can frustrate SCS land-use projections","Grant limited zoning pre-emption authority to MPOs for transit-rich housing opportunity areas identified in the adopted SCS."
California (SB 375),Funding Mechanisms,"No dedicated transportation demand management (TDM) fund tied to SB 375 outcomes","Lack of stable TDM funding undermines VMT reduction programs","Establish a VMT Reduction Trust Fund seeded by a portion of Cap-and-Trade transportation revenues, distributed based on verified per-capita VMT reductions."
Colorado,Binding Targets,"SB 21-260 sets statewide GHG reduction targets (26% below 2005 by 2025; 50% by 2030) with legal backstop","Colorado's targets are codified in statute with CDOT accountable","Adopt Colorado-style enforceable statewide VMT/GHG targets for the transportation sector with CARB backstop authority."
Colorado,Enforcement & Accountability,"CDOT must submit annual GHG reduction plans; failure triggers automatic rulemaking","Automatic regulatory trigger removes political discretion","Model an automatic rulemaking trigger in CARB if transportation GHG exceeds the annual target trajectory by more than 3%."
Colorado,Data & Monitoring,"CDOT GHG Program uses link-level traffic data with annual public reporting","Granular public reporting enables accountability","Require Caltrans to publish an annual Transportation GHG Dashboard at the route / segment level using CT-EMFAC and PeMS data."
Massachusetts,Binding Targets,"GWSA requires statewide GHG reductions of 50% by 2030 and net zero by 2050; transportation sector has sub-targets","Sub-sector targets prevent over-reliance on non-transport reductions","Disaggregate California's 2045 carbon neutrality goal into sector-level sub-targets, with transportation holding at least a 45% share."
Massachusetts,Enforcement & Accountability,"MassDEP issues binding regulations (310 CMR 60.05) with civil penalty authority","Regulatory authority backed by civil penalties","Authorize CARB civil penalties against MPOs that miss consecutive SCS interim milestones."
Massachusetts,Equity Provisions,"Environmental justice communities receive enhanced monitoring and first-priority mitigation measures","Explicit EJ community protections are mandated by regulation","Require California MPOs to allocate ≥25% of VMT-reduction funding to SB 535 Disadvantaged Community projects."
Massachusetts,Data & Monitoring,"Annual Transportation Sector GHG Report published by MassDEP using observed traffic data","Observed (not modeled) data used for compliance verification","Transition California's SB 375 performance tracking from modeled SCS projections to observed VMT data (PeMS + StreetLight)."
Minnesota,Binding Targets,"MnDOT GHG Assessment identifies a 75% GHG reduction target for transportation by 2050","Long-term statutory transportation target provides investment certainty","Add a 2050 net-zero VMT-intensity target for California's transportation sector to complement 2035 SCS targets."
Minnesota,Data & Monitoring,"MnDOT publishes annual GHG assessment using MOVES model, with scenario modeling","Scenario modeling helps evaluate policy options before adoption","Require CARB to publish annual scenario analyses showing projected VMT and GHG outcomes under different land-use and pricing policy alternatives."
Minnesota,Equity Provisions,"Tribal and rural communities included in GHG planning process with dedicated outreach","Explicit rural / tribal inclusion fills a gap in urban-centric SB 375","Expand SB 375 applicability to non-MPO regions with a rural VMT-reduction framework administered by Caltrans."
Virginia,Binding Targets,"SMART Scale uses a data-driven, transparent scoring algorithm for project prioritization, weighting GHG/VMT outcomes","Transparent scoring algorithm reduces political influence on project selection","Adopt a SMART Scale–style VMT-weighted scoring system for Caltrans and MPO project programming in the State Transportation Improvement Program (STIP)."
Virginia,Enforcement & Accountability,"Projects that do not score above a minimum SMART Scale threshold are ineligible for STIP inclusion","Hard threshold creates real consequence for high-VMT projects","Establish a VMT-per-dollar threshold in the STIP: projects that increase net VMT per capita are ineligible unless offset by a TDM component."
Virginia,Funding Mechanisms,"Smart Scale scoring directly links transportation investment to performance outcomes including GHG","Performance-based funding allocation reduces pork-barrel spending","Integrate a VMT impact score into California's Interregional Transportation Improvement Program (ITIP) project scoring."
Virginia,Data & Monitoring,"SMART Scale project performance is publicly tracked post-construction","Post-construction outcome monitoring is rare in California","Require post-construction VMT monitoring for all federally funded California transportation projects >$10M, published on a state dashboard."
